"index","country","population","last_updated"
"1","China","1394015977","July 2020 est."
"2","India","1326093247","July 2020 est."
"3","United States","332639102","July 2020 est."
"4","Indonesia","267026366","July 2020 est."
"5","Pakistan","233500636","July 2020 est."
"6","Nigeria","214028302","July 2020 est."
"7","Brazil","211715973","July 2020 est."
"8","Bangladesh","162650853","July 2020 est."
"9","Russia","141722205","July 2020 est."
"10","Mexico","128649565","July 2020 est."
"11","Japan","125507472","July 2020 est."
"12","Philippines","109180815","July 2020 est."
"13","Ethiopia","108113150","July 2020 est."
"14","Egypt","104124440","July 2020 est."
"15","Congo, Democratic Republic of the","101780263","July 2020 est."
"16","Vietnam","98721275","July 2020 est."
"17","Iran","84923314","July 2020 est."
"18","Turkey","82017514","July 2020 est."
"19","Germany","80159662","July 2020 est."
"20","Thailand","68977400","July 2020 est."
"21","France","67848156","July 2020 est."
"22","United Kingdom","65761117","July 2020 est."
"23","Italy","62402659","July 2020 est."
"24","Tanzania","58552845","July 2020 est."
"25","Burma","56590071","July 2020 est."
"26","South Africa","56463617","July 2020 est."
"27","Kenya","53527936","July 2020 est."
"28","Korea, South","51835110","July 2020 est."
"29","Spain","50015792","July 2020 est."
"30","Colombia","49084841","July 2020 est."
"31","Sudan","45561556","July 2020 est."
"32","Argentina","45479118","July 2020 est."
"33","Ukraine","43922939","July 2020 est."
"34","Uganda","43252966","July 2020 est."
"35","Algeria","42972878","July 2020 est."
"36","Iraq","38872655","July 2020 est."
"37","Poland","38282325","July 2020 est."
"38","Canada","37694085","July 2020 est."
"39","Afghanistan","36643815","July 2020 est."
"40","Morocco","35561654","July 2020 est."
"41","Saudi Arabia","34173498","July 2020 est."
"42","Malaysia","32652083","July 2020 est."
"43","Angola","32522339","July 2020 est."
"44","Peru","31914989","July 2020 est."
"45","Uzbekistan","30565411","July 2020 est."
"46","Nepal","30327877","July 2020 est."
"47","Mozambique","30098197","July 2020 est."
"48","Yemen","29884405","July 2020 est."
"49","Ghana","29340248","July 2020 est."
"50","Venezuela","28644603","July 2020 est."
"51","Cameroon","27744989","July 2020 est."
"52","Cote d'Ivoire","27481086","July 2020 est."
"53","Madagascar","26955737","July 2020 est."
"54","Korea, North","25643466","July 2020 est."
"55","Australia","25466459","July 2020 est."
"56","Taiwan","23603049","July 2020 est."
"57","Sri Lanka","22889201","July 2020 est."
"58","Niger","22772361","July 2020 est."
"59","Romania","21302893","July 2020 est."
"60","Malawi","21196629","July 2020 est."
"61","Burkina Faso","20835401","July 2020 est."
"62","Mali","19553397","July 2020 est."
"63","Syria","19398448","July 2020 est."
"64","Kazakhstan","19091949","July 2020 est."
"65","Chile","18186770","July 2020 est."
"66","Zambia","17426623","July 2020 est."
